Intel Core i3-10105 OEM/LGA 1200/4/3,7/8/14/DDR4/128/1600/2666/65
Intel Core i9-11900KF BOX/LGA 1200/8/3,5/16/14/DDR4/128/1600/3200/125
AMD A8-9600 OEM/AM4/4/3,1/4/28/DDR4/64/1600/2400/65
AMD FX-4300 OEM/AM3+/4/3,8/4/32/DDR3/128/800/1866/95
Intel Core i7-10700K OEM/LGA 1200/8/3,8/16/14/DDR4/128/1600/2933/125
