AeroCool Cs-102/Mini-Tower/345/190/372/Micro-ATX,Mini-ATX/ATX/240/150/2/3/4
DEXP DC-201M/Mini-Tower/360/175/360/Micro-ATX,Mini-ITX/ATX/300/142/3/2/4
DEXP DC-101B/Mid-Tower/413/198/422/Micro-ATX,Mini-ITX,Standard-ATX/ATX/370/166/2/2/7
ZALMAN Z1 NEO/Mid-Tower/445/203/464/Micro-ATX,Mini-ITX,Standard-ATX/ATX/375/160/5/4/7
