MSI GeForce 210/1/GDDR3/6,4/40/64/145/1/460/none/31
PNY Quadro P2000/5/GDDR5/140/16/160/200/1/1370/none/75
GIGABYTE GeForce GTX 1660 SUPER OC/6/GDDR6/336/12/192/226/2/1530/1x8 pin/150
